Día,Actividad,Grupo Función,Estado
Jueves,Oración Inicial,,True
Jueves,Ambientación de sala,,False
Jueves,Definición Circuito Pared-Confesiones-Lavado de manos,,True
Jueves,Prueba de sonido sala,,False
Jueves,Prueba de sonido patio / pared,,True
Jueves,Llaves y revisión de habitaciones,,False
Jueves,Instalación de Tachos y útiles de limpieza,,True
Jueves,Fotochecks+Bolsas de celulares,,False
Jueves,Instalación Snacks,,True
Jueves,Pre instalación de Santísimo,,False
Jueves,Coordinación cocina (horarios) y distribución de mesas,,True
Jueves,Asignacion servidores y caminantes / mesas y habitaciones,,False
Jueves,Almuerzo,,True
Jueves,Rol de vigilia,,False
Jueves,Misa,,True
Jueves,Bendición de Biblias mantelitos rosarios palanquitas etc,,False
Jueves,Exposición del Sagrado Sacramento + iluminación+música,,True
Jueves,Rezo del Santo Rosario (Misterios Gloriosos),,False
Jueves,Organizar las mesas de registro,,True
Viernes,Llegada equipo de bienvenida en la Parroquia NSR. Armar mesa de registro,,False
Viernes,Embarque en el bus Parroquia . Salida hacia la Casa de Retiro,,True
Viernes,Recepción en Casa de Retiro. Registro de asistencia. Asignación de habitaciones.,,False
Viernes,Snack de liquidos,,True
Viernes,Suena la campana para reunir a los Caminantes en el auditorio,,False
Viernes,Bienvenida a los Caminantes en el auditorio / Confidencialidad,,True
Viernes,Reglas de la Casa,,False
Viernes,Pasar lista de los Caminantes asignarles mesa y traslado en orden al comedor,,True
Viernes,Cena - Bendición de los alimentos y petición por los Caminantes y su retiro,,False
Viernes,Aviso para ir baño en 5 min y posterior reunión en el auditorio,,True
Viernes,Presentaciones,,False
Viernes,Snack (LIQUIDOS y GALLETAS),Reparto de los diarios,True
Viernes,Música y reflexión,Oración,False
Viernes,Invitar a los caminantes a la capilla,Oración,True
Viernes,Dinámica entrega de las biblias en la entrada a la capilla,Caminantes se dirigen a la capilla,False
Viernes,1. Caminantes forman y entran de 2 - 2 y se bendicen el uno a otro con Agua Bendita,Caminantes se dirigen a la capilla,True
Viernes,2.  Entrega de Biblias (separador en el pasaje de Emaús Lucas 24 :13-35),Caminantes se dirigen a la capilla,False
Viernes,Explicación del Santísimo Sacramento.,Caminantes se dirigen a la capilla,True
Viernes,1.Pedir que todos los caminantes se mantengan en silencio hasta que regresemos a la Capilla en la mañana siguiente,Caminantes se dirigen a la capilla,False
